text,bias,confidence,source,timestamp
"Cat Zakrzewski, David Ovalle, Scott Dance and Laura MecklerTrump’s answer to numbers he doesn’t like: Change them or throw them awayAugust 14, 2025",Right,0.5116888284683228,washington_post,20250814_154049
"Justin JouvenalSupreme Court clears way for Miss. law requiring parental consent to use social media Mississippi passed the law in 2024 after a 16-year-old was victimized by a sextortion scheme and took his own life. August 14, 2025",Left,0.5200879573822021,washington_post,20250814_154049
AnalysisAaron BlakeThe Republican squirm is in full swing,Left,0.5144432783126831,washington_post,20250814_154049
"AnalysisDan Merica and Matthew ChoiElectricity prices are surging, opening up a new line of attacks against RepublicansThe Washington Post’s essential guide to power and influence in D.C. In today’s edition: The political ramifications of surging electricity prices.August 14, 2025",Right,0.5001851320266724,washington_post,20250814_154049
"Sabrina RodriguezThe GOP is betting Latino Trump voters will keep them in power. That’s no sure thing.The congressional maps Republicans are drawing to boost their chances of keeping control of Congress depend on preserving their gains with Hispanic voters.August 14, 2025",Left,0.5151947140693665,washington_post,20250814_154049
"Brianna Tucker, Dylan Wells, Mariana Alfaro and Maegan VazquezTrump says a second meeting with Putin will likely be more important than Friday’sGet the latest news on President Donald Trump’s second term and the Republican-led Congress.August 13, 2025",Left,0.5139778256416321,washington_post,20250814_154049
AnalysisAaron BlakeQatar plane gift could awaken Trump’s sleeping ‘corrupt’ problem,Left,0.5165424346923828,washington_post,20250814_154049
"Brianna Tucker, Dylan Wells, Mariana Alfaro and Maegan VazquezNational Guard sighted in D.C. following Trump’s police takeoverGet the latest news on President Donald Trump’s second term and the Republican-led Congress.August 12, 2025",Left,0.5117859840393066,washington_post,20250814_154049
"Andrew Jeong and Grace MoonWhy is the National Guard in D.C., and what are troops allowed to do?Defense Secretary Pete Hegseth said troops will not get involved in law enforcement but would be “proactive” if they saw something illegal happening. August 13, 2025",Left,0.5231444835662842,washington_post,20250814_154049
AnalysisAmber PhillipsFour takeaways from Mamdani’s surprising results,Left,0.5108460783958435,washington_post,20250814_154049
"Hannah KnowlesThe midterm map fight favors the GOP — and could help them stay in powerDemocrats have vowed to counter President Donald Trump’s push for more red House seats, but they may struggle to match it.August 13, 2025",Left,0.5101686716079712,washington_post,20250814_154049
"ColumnPaul KaneDemocrats return to recruiting older, familiar facesAugust 14, 2025",Right,0.5169409513473511,washington_post,20250814_154049
"Justin JouvenalAppeals court says Trump officials can withhold billions in foreign aidThe ruling is a significant — if possibly temporary — victory in Trump’s push for greater authority over spending mandated by Congress.August 13, 2025",Left,0.5229950547218323,washington_post,20250814_154049
"AnalysisAaron BlakeJames Comey, and a sudden shift in what ‘86’ supposedly means",Left,0.5019124746322632,washington_post,20250814_154049
"Brianna Tucker, Dylan Wells, Mariana Alfaro and Maegan VazquezLive updates: Trump raises possibility of Zelensky joining him and Putin in AlaskaAugust 14, 2025",Left,0.5048113465309143,washington_post,20250814_154049
AnalysisAaron BlakeThe many big things Trump ‘didn’t know’ about,Left,0.5063043832778931,washington_post,20250814_154049
"Jonathan EdwardsTrump is rushing to build his ballroom. A review process could take years.The National Capital Planning Commission has taken years to approve much smaller White House projects than a ballroom planned by President Trump.August 13, 2025",Left,0.5015847682952881,washington_post,20250814_154049
AnalysisAaron BlakeMarjorie Taylor Greene for Senate? Why the GOP should be scared.,Left,0.5159358978271484,washington_post,20250814_154049
"Naomi Schanen and Alisa Shodiyev KaffPutin and Trump have met before. Here’s how those encounters went.It will mark the first time the two leaders will meet in person since Russia invaded Ukraine in 2022. Here’s how their other meetings went.August 14, 2025",Left,0.5101101994514465,washington_post,20250814_154049
"AnalysisAaron BlakeTrump is making foreign liberals, free trade and immigrants great again",Right,0.5024492144584656,washington_post,20250814_154049
